id,brand,model,cpu,gpu,ram_gb,ram_type,storage,display,refresh_rate_hz,weight_kg,battery_wh,ports,os,price_usd,release_year,category
LP001,Asus,ROG Strix G16 G614,"Intel Core i9-14900HX (24-core, up to 5.8GHz)",NVIDIA GeForce RTX 4070 8GB GDDR6,32,DDR5-5600,1TB NVMe PCIe 4.0 SSD,16-inch QHD+ (2560x1600) IPS,240,2.5,90,"2x USB-C (Thunderbolt 4), 3x USB-A, HDMI 2.1, RJ45, 3.5mm audio",Windows 11 Home,1899,2024,Gaming
LP002,Lenovo,Legion Pro 7i,"Intel Core i9-14900HX (24-core, up to 5.8GHz)",NVIDIA GeForce RTX 4090 16GB GDDR6,32,DDR5-5600,2TB NVMe PCIe 4.0 SSD,"16-inch WQXGA (2560x1600) IPS, Mini-LED",240,2.7,99,"1x USB-C (Thunderbolt 4), 1x USB-C (PD), 3x USB-A, HDMI 2.1, RJ45",Windows 11 Home,3199,2024,Gaming
LP003,Apple,MacBook Air 13 (M3),Apple M3 (8-core CPU),Apple M3 10-core integrated GPU,16,Unified Memory,512GB SSD,13.6-inch Liquid Retina (2560x1664) IPS,60,1.24,52.6,"2x USB-C (Thunderbolt/USB4), MagSafe 3, 3.5mm audio",macOS Sonoma,1099,2024,Ultrabook
LP004,Apple,MacBook Pro 16 (M3 Max),Apple M3 Max (16-core CPU),Apple M3 Max 40-core integrated GPU,36,Unified Memory,1TB SSD,16.2-inch Liquid Retina XDR (3456x2234) mini-LED,120,2.16,100,"3x USB-C (Thunderbolt 4), HDMI, SDXC, MagSafe 3, 3.5mm audio",macOS Sonoma,3499,2023,Workstation
LP005,Dell,XPS 13 9340,Intel Core Ultra 7 155H (16-core),Intel Arc integrated graphics,16,LPDDR5x-7467,512GB NVMe SSD,13.4-inch FHD+ (1920x1200) IPS touch,60,1.2,55,2x USB-C (Thunderbolt 4),Windows 11 Home,1299,2024,Ultrabook
LP006,HP,Pavilion 15,"AMD Ryzen 5 7430U (6-core, up to 4.3GHz)",AMD Radeon integrated graphics,8,DDR4-3200,512GB NVMe SSD,15.6-inch FHD (1920x1080) IPS,60,1.75,41,"1x USB-C, 2x USB-A, HDMI 1.4, SD card reader, 3.5mm audio",Windows 11 Home,549,2023,Budget
LP007,Acer,Nitro 5 AN515-58,"Intel Core i5-12500H (12-core, up to 4.5GHz)",NVIDIA GeForce RTX 3050 4GB GDDR6,16,DDR4-3200,512GB NVMe SSD,15.6-inch FHD (1920x1080) IPS,144,2.5,57.5,"1x USB-C, 3x USB-A, HDMI 2.1, RJ45, 3.5mm audio",Windows 11 Home,799,2023,Gaming
LP008,ASUS,TUF Gaming A15,"AMD Ryzen 7 7735HS (8-core, up to 4.75GHz)",NVIDIA GeForce RTX 4060 8GB GDDR6,16,DDR5-4800,1TB NVMe SSD,15.6-inch FHD (1920x1080) IPS,144,2.2,90,"1x USB-C, 3x USB-A, HDMI 2.1, RJ45, 3.5mm audio",Windows 11 Home,999,2023,Gaming
LP009,Lenovo,ThinkPad X1 Carbon Gen 12,Intel Core Ultra 7 155H (16-core),Intel Arc integrated graphics,32,LPDDR5x-6400,1TB NVMe SSD,14-inch 2.8K (2880x1800) OLED touch,60,1.12,57,"2x USB-C (Thunderbolt 4), 2x USB-A, HDMI 2.1",Windows 11 Pro,1899,2024,Business
LP010,MSI,Raider GE78 HX,"Intel Core i9-14900HX (24-core, up to 5.8GHz)",NVIDIA GeForce RTX 4080 12GB GDDR6,32,DDR5-5600,2TB NVMe SSD,17-inch QHD+ (2560x1600) IPS,240,3.0,99.9,"1x USB-C (Thunderbolt 4), 3x USB-A, HDMI 2.1, RJ45, mini-DisplayPort",Windows 11 Home,2899,2024,Gaming
LP011,Microsoft,Surface Laptop 6,Intel Core Ultra 7 165H (16-core),Intel Arc integrated graphics,16,LPDDR5x,512GB SSD,13.8-inch PixelSense (2304x1536) touch,60,1.34,49,"2x USB-C (Thunderbolt 4), 1x USB-A, Surface Connect, 3.5mm audio",Windows 11 Pro,1399,2024,Ultrabook
LP012,Razer,Blade 16 (2024),"Intel Core i9-14900HX (24-core, up to 5.8GHz)",NVIDIA GeForce RTX 4090 16GB GDDR6,32,DDR5-5600,2TB NVMe SSD,"16-inch UHD+ (3840x2400) Mini-LED, up to 240Hz dual mode",240,2.45,99.9,"2x USB-C (Thunderbolt 4), 2x USB-A, HDMI 2.1, SD card reader",Windows 11 Home,3999,2024,Gaming
LP013,Acer,Aspire 3,"Intel Core i3-1215U (6-core, up to 4.4GHz)",Intel UHD integrated graphics,8,DDR4-3200,256GB NVMe SSD,15.6-inch FHD (1920x1080) IPS,60,1.7,48,"1x USB-C, 2x USB-A, HDMI 1.4, 3.5mm audio",Windows 11 Home,399,2023,Budget
LP014,ASUS,ROG Zephyrus G14 (2024),"AMD Ryzen 9 8945HS (8-core, up to 5.2GHz)",NVIDIA GeForce RTX 4070 8GB GDDR6,32,LPDDR5x-7500,1TB NVMe SSD,14-inch QHD+ (2560x1600) OLED,120,1.65,73,"2x USB-C (USB4), 1x USB-A, HDMI 2.1, microSD",Windows 11 Home,1799,2024,Gaming
LP015,Dell,Inspiron 15 3520,"Intel Core i5-1235U (10-core, up to 4.4GHz)",Intel Iris Xe integrated graphics,8,DDR4-3200,512GB NVMe SSD,15.6-inch FHD (1920x1080) TN,60,1.85,41,"1x USB-C, 2x USB-A, HDMI 1.4, SD card reader, 3.5mm audio",Windows 11 Home,549,2022,Budget
LP016,HP,Omen 16,"Intel Core i7-13700HX (16-core, up to 5.0GHz)",NVIDIA GeForce RTX 4060 8GB GDDR6,16,DDR5-4800,1TB NVMe SSD,16.1-inch QHD (2560x1440) IPS,165,2.36,83,"1x USB-C (Thunderbolt 4), 3x USB-A, HDMI 2.1, RJ45",Windows 11 Home,1349,2023,Gaming
LP017,Lenovo,IdeaPad Slim 5,"AMD Ryzen 7 7730U (8-core, up to 4.5GHz)",AMD Radeon integrated graphics,16,LPDDR5-6400,512GB NVMe SSD,14-inch 2.2K (2240x1400) IPS,60,1.4,57,"1x USB-C, 2x USB-A, HDMI 1.4, 3.5mm audio",Windows 11 Home,699,2023,Ultrabook
LP018,Gigabyte,AORUS 17X,"Intel Core i9-13980HX (24-core, up to 5.6GHz)",NVIDIA GeForce RTX 4090 16GB GDDR6,64,DDR5-5600,2TB NVMe SSD,17.3-inch QHD (2560x1440) IPS,240,3.06,99,"1x USB-C (Thunderbolt 4), 3x USB-A, HDMI 2.1, RJ45, mini-DisplayPort",Windows 11 Pro,3499,2023,Gaming
